ingredient_name,name_fr,category,country_code,fr_reference_price_eur_per_100g,price_per_100g,currency,package_size,package_unit,notes
Dried shrimp powder,Poudre de crevette séchée,dried_fish,GB,1.925,,GBP,,,
Dried shrimp powder,Poudre de crevette séchée,dried_fish,US,1.925,,USD,,,
Egg,Œuf,protein,CA,,,CAD,,,
Egg,Œuf,protein,GB,,,GBP,,,
Egg,Œuf,protein,US,,,USD,,,
Eggplant,Aubergine,vegetable,CA,0.289,,CAD,,,
Eggplant,Aubergine,vegetable,GB,0.289,,GBP,,,
Eggplant,Aubergine,vegetable,US,0.289,,USD,,,
Egusi seeds,Graines d'egusi,nut,CA,,,CAD,,,
Egusi seeds,Graines d'egusi,nut,GB,,,GBP,,,
Egusi seeds,Graines d'egusi,nut,US,,,USD,,,
Evaporated milk,Lait concentré non sucré,dairy,CA,0.241,,CAD,,,
Evaporated milk,Lait concentré non sucré,dairy,GB,0.241,,GBP,,,
Evaporated milk,Lait concentré non sucré,dairy,US,0.241,,USD,,,
Fermented fish (Adjovan),Poisson fermenté (Adjovan),dried_fish,CA,0.714,,CAD,,,
Fermented fish (Adjovan),Poisson fermenté (Adjovan),dried_fish,GB,0.714,,GBP,,,
Fermented fish (Adjovan),Poisson fermenté (Adjovan),dried_fish,US,0.714,,USD,,,
Fine semolina,Semoule fine,starch,CA,0.290,,CAD,,,
Fine semolina,Semoule fine,starch,GB,0.290,,GBP,,,
Fine semolina,Semoule fine,starch,US,0.290,,USD,,,
Fish sauce,Nuoc mam,,CA,0.792,,CAD,,,
Fish sauce,Nuoc mam,,GB,0.792,,GBP,,,
Fish sauce,Nuoc mam,,US,0.792,,USD,,,
Fresh chili,Piment frais,vegetable,CA,2.333,,CAD,,,
Fresh chili,Piment frais,vegetable,GB,2.333,,GBP,,,
Fresh chili,Piment frais,vegetable,US,2.333,,USD,,,
Fresh coriander,Coriandre fraîche,herb,CA,0.990,,CAD,,,
Fresh coriander,Coriandre fraîche,herb,GB,0.990,,GBP,,,
Fresh coriander,Coriandre fraîche,herb,US,0.990,,USD,,,
Fresh fish (Tilapia),Poisson frais (Tilapia),fish,CA,,,CAD,,,
Fresh fish (Tilapia),Poisson frais (Tilapia),fish,GB,,,GBP,,,
Fresh fish (Tilapia),Poisson frais (Tilapia),fish,US,,,USD,,,
Fresh habanero pepper,Piment antillais frais,vegetable,CA,6.653,,CAD,,,
Fresh habanero pepper,Piment antillais frais,vegetable,GB,6.653,,GBP,,,
Fresh habanero pepper,Piment antillais frais,vegetable,US,6.653,,USD,,,
Fresh okra,Gombo frais,vegetable,CA,0.999,,CAD,,,
Fresh okra,Gombo frais,vegetable,GB,0.999,,GBP,,,
Fresh okra,Gombo frais,vegetable,US,0.999,,USD,,,
Fresh tomato,Tomate fraîche,vegetable,CA,0.482,,CAD,,,
Fresh tomato,Tomate fraîche,vegetable,GB,0.482,,GBP,,,
Fresh tomato,Tomate fraîche,vegetable,US,0.482,,USD,,,
Gari (Cassava granules),Gari,starch,CA,0.255,,CAD,,,
Gari (Cassava granules),Gari,starch,GB,0.255,,GBP,,,
Gari (Cassava granules),Gari,starch,US,0.255,,USD,,,
Garlic,Ail,spice,CA,0.796,,CAD,,,
Garlic,Ail,spice,GB,0.796,,GBP,,,
Garlic,Ail,spice,US,0.796,,USD,,,
Ginger,Gingembre,spice,CA,0.499,,CAD,,,
Ginger,Gingembre,spice,GB,0.499,,GBP,,,
Ginger,Gingembre,spice,US,0.499,,USD,,,
Goat meat,Viande de chèvre,protein,CA,,,CAD,,,
Goat meat,Viande de chèvre,protein,GB,,,GBP,,,
Goat meat,Viande de chèvre,protein,US,,,USD,,,
Green bananas Matoke,Bananes vertes (Matoke),starch,CA,,,CAD,,,
Green bananas Matoke,Bananes vertes (Matoke),starch,GB,,,GBP,,,
Green bananas Matoke,Bananes vertes (Matoke),starch,US,,,USD,,,
Green bell pepper,Poivron vert,vegetable,CA,0.429,,CAD,,,
Green bell pepper,Poivron vert,vegetable,GB,0.429,,GBP,,,
Green bell pepper,Poivron vert,vegetable,US,0.429,,USD,,,
Green cabbage,Chou vert,,CA,,,CAD,,,
Green cabbage,Chou vert,,GB,,,GBP,,,
